Date,Breakout Type,Strike Label,Entry Price,Peak Price,MFE %,MAE %,Time To Peak Min,Decay %,Elasticity,Gamma Eff,Expansion Quality Score,Peak Exhaustion Score,Expected Opportunity Score,Time To 50%,Time Above 50%,Hybrid Return %,Hybrid Capture Eff,Hybrid Retention Ratio,Hybrid Lost Profit,Trail 20 Return %,Trail 20 Capture Eff,Momentum Return %,Momentum Capture Eff,Volatility Regime,Trend Regime,Auction Archetype
2026-07-06,bullish,ATM-2,143.15,157.2,9.81,-3.25,36,4.74,24.625,0.101,45,50,6,,0,5.83,0.5943,0.5943,5.7,5.83,0.5943,4.54,0.4626,normal,mean_reverting,open_test_drive
2026-07-06,bullish,ATM-1,107.85,120.2,11.45,-3.85,36,5.45,28.73,0.118,46,50,6,,0,6.54,0.5709,0.5709,5.3,6.54,0.5709,5.15,0.4494,normal,mean_reverting,open_test_drive
2026-07-06,bullish,ATM,77.5,87.7,13.16,-4.58,36,6.39,33.021,0.136,46,50,6,,0,7.68,0.5833,0.5833,4.25,7.68,0.5833,6.06,0.4608,normal,mean_reverting,open_test_drive
2026-07-06,bullish,ATM+1,52.7,61.2,16.13,-4.93,36,7.52,40.466,0.166,46,50,6,,0,9.3,0.5765,0.5765,3.6,9.3,0.5765,7.78,0.4824,normal,mean_reverting,open_test_drive
2026-07-06,bullish,ATM+2,34.0,40.1,17.94,-5.59,36,7.73,45.013,0.185,46,50,6,,0,11.18,0.623,0.623,2.3,11.18,0.623,9.12,0.5082,normal,mean_reverting,open_test_drive
2026-07-07,bullish,ATM-2,120.8,136.05,12.62,-44.7,40,50.9,73.608,0.301,6,100,0,,0,1.32,0.1049,0.1049,13.65,-9.9,-0.7843,0.99,0.0787,normal,mean_reverting,open_auction
2026-07-07,bullish,ATM-1,78.55,91.85,16.93,-73.65,40,77.46,98.725,0.403,7,100,0,,0,0.89,0.0526,0.0526,12.6,-6.45,-0.3812,0.7,0.0414,normal,mean_reverting,open_auction
2026-07-07,bullish,ATM,42.95,53.55,24.68,-99.07,40,99.25,143.901,0.588,11,100,0,,0,1.05,0.0425,0.0425,10.15,-0.26,-0.0104,0.93,0.0377,normal,mean_reverting,open_auction
2026-07-07,bullish,ATM+1,19.9,26.1,31.16,-99.25,40,99.43,181.66,0.742,14,100,0,,0,0.5,0.0161,0.0161,6.1,4.92,0.1581,0.5,0.0161,normal,mean_reverting,open_auction
2026-07-07,bullish,ATM+2,8.2,10.8,31.71,-98.78,40,99.07,184.876,0.755,14,100,0,,0,-1.22,-0.0385,0.0,2.7,5.37,0.1692,-1.22,-0.0385,normal,mean_reverting,open_auction
2026-07-07,bearish,ATM-2,6.25,7.95,27.2,-95.2,5,96.23,86.677,0.355,54,100,0,,0,-47.2,-1.7353,0.0,4.65,-11.04,-0.4059,-3.2,-0.1176,normal,mean_reverting,open_auction
2026-07-07,bearish,ATM-1,15.1,19.45,28.81,-93.05,5,94.6,91.801,0.376,55,100,0,,0,-32.78,-1.1379,0.0,9.3,3.05,0.1057,3.31,0.1149,normal,mean_reverting,open_auction
2026-07-07,bearish,ATM,37.45,43.8,16.96,-86.65,5,88.58,54.032,0.221,43,100,0,,0,-21.76,-1.2835,0.0,14.5,-6.44,-0.3795,8.41,0.4961,normal,mean_reverting,open_auction
2026-07-07,bearish,ATM+1,76.95,84.85,10.27,-57.31,5,61.28,32.715,0.134,34,100,0,,0,-12.35,-1.2025,0.0,17.4,-11.79,-1.1481,5.52,0.538,normal,mean_reverting,open_auction
2026-07-07,bearish,ATM+2,122.95,134.0,8.99,-36.64,110,9.03,28.64,0.117,42,100,0,,0,-7.32,-0.8145,0.0,20.05,-14.34,-1.5955,3.74,0.4163,normal,mean_reverting,open_auction
2026-07-08,bearish,ATM-2,116.05,120.0,3.4,-7.54,84,10.58,1.955,0.008,40,75,0,,0,-3.96,-1.1646,0.0,8.55,0.73,0.2152,-3.96,-1.1646,normal,trending,open_test_drive
2026-07-08,bearish,ATM-1,139.65,143.4,2.69,-7.77,84,10.18,1.543,0.006,40,75,0,,0,-3.94,-1.4667,0.0,9.25,-0.11,-0.04,-3.94,-1.4667,normal,trending,open_test_drive
2026-07-08,bearish,ATM,165.8,169.5,2.23,-7.57,84,9.59,1.282,0.005,40,75,0,,0,-3.95,-1.7703,0.0,10.25,-0.24,-0.1081,-3.95,-1.7703,normal,trending,open_test_drive
2026-07-08,bearish,ATM+1,194.05,198.9,2.5,-7.24,84,9.5,1.436,0.006,40,75,0,,0,-3.68,-1.4742,0.0,12.0,-0.03,-0.0103,-3.68,-1.4742,normal,trending,open_test_drive
2026-07-08,bearish,ATM+2,225.4,230.9,2.44,-6.7,84,8.92,1.402,0.006,41,75,0,,0,-3.55,-1.4545,0.0,13.5,0.11,0.0455,-3.55,-1.4545,normal,trending,open_test_drive
2026-07-09,bullish,ATM-2,203.85,214.1,5.03,-12.31,343,5.6,14.448,0.06,43,75,0,,0,-4.98,-0.9902,0.0,20.4,1.1,0.2195,-6.97,-1.3854,normal,trending,open_auction
